OTU	ERR1456790	ERR1456791	ERR1456792	ERR1456793	ERR1456794	ERR1456795	ERR1456796	ERR1456797	ERR1456798	ERR1456799	ERR1456800	ERR1456801	ERR1456802	ERR1456803	ERR1456804	ERR1456805	ERR1456806	ERR1456807	ERR1456808	ERR1456809	ERR1456810	ERR1456811	ERR1456812	ERR1456813	ERR1456814	ERR1456815	ERR1456816	ERR1456817	ERR1456818	ERR1456819	ERR1456821	ERR1456822	ERR1456823	ERR1456824	ERR1456825	ERR1456826	ERR1456827	ERR1456828	ERR1456829
75613becc8199a0c3bfb9588865b7dc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0
fc9719c83c5a32be80ffc6903a674e2c	140	93	180	126	140	135	137	0	0	110	106	83	98	109	98	96	90	98	131	324	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ae92a1b9b1e867b511352b6d49dedd6	0	0	0	0	38	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7bd93e9e15708387b098494bb920ee97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9bd2ff8c15e9dedc7872477b69b5aa01	0	0	28	0	0	0	0	0	0	25	0	0	0	0	30	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02cbedf10d33674b356b6345dce10bf5	115	114	97	55	128	144	98	180	195	80	81	90	96	108	68	77	74	85	68	0	0	0	129	0	0	0	149	0	0	134	133	0	120	109	0	0	92	0	0
36d192b249d98c9b093f3ca491c170dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6755a5fb0c81538fcf5e0baeb70f3220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
79d4167da961ff5c0ca47c5d41cb4409	11	12	10	11	15	11	19	0	6	9	0	0	0	6	6	4	5	6	8	0	12	111	0	124	0	0	8	0	66	5	14	64	10	11	29	58	0	0	5
a7b82f37f5fd4df3cfc7b114791232d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
