	BulkRAG1	BulkRAG2	BulkRAG3	BulkTP1	BulkTP2	BulkTP3	RAG1	RAG10	RAG12	RAG2	RAG3	RAG4	RAG5	RAG6	RAG7	RAG8	RTP1	RTP10	RTP11	RTP12	RTP2	RTP3	RTP4	RTP5	RTP6	RTP7	RTP9
K05663	23.553796872057077	17.313019390582664	27.71407389957961	18.46947181004625	20.45904993286982	8.2599914922092	4.936662618603594	10.680622680302909	7.282366477811022	11.845885035686296	9.239710427475707	0.0	4.050879040752059	9.153946495183247	13.46094307367241	31.74018752102958	0.0	6.236241292648433	14.951780507862892	11.222966679012469	9.202764510459438	19.65679240461638	11.638869167472334	10.547354987053671	0.0	20.85364391360442	0.0
K10010	35.33069530808561	17.313019390582664	27.71407389957961	14.775577448036941	38.360718624130996	41.299957461046006	14.809987855810824	32.041868040908625	14.564732955622084	35.53765510705899	13.85956564121356	31.3906037459472	0.0	45.76973247591623	17.947924098229947	76.17645005047095	17.613541290545154	24.944965170593733	49.83926835954314	33.66890003703751	55.21658706275659	19.65679240461638	29.09717291868078	21.094709974107342	0.0	31.280465870406527	13.035770153301117
K10009	58.88449218014259	17.313019390582664	20.78555542468463	36.9389436200925	10.22952496643496	37.16996171494139	29.619975711621546	10.680622680302909	50.97656534467715	17.768827553529494	46.198552137378535	26.158836454956003	8.101758081504126	18.307892990366515	22.434905122787384	19.04411251261771	26.42031193581773	12.472482585296866	9.96785367190863	56.11483339506255	27.608293531378294	0.0	40.73604208615312	5.273677493526845	27.684726336481535	10.42682195680221	39.10731045990325
K02013	730.1677030337396	761.7728531855424	956.1355495354521	879.1468581581499	923.2146282207506	954.0290173501511	799.7393442137445	731.6226536007416	728.2366477810392	515.295999052326	743.7966894117407	711.5203515747409	1855.3026006644002	791.8163718333439	686.5080967572363	666.5439379415353	915.9041471082496	910.4912287266486	892.1229036357473	729.4928341357369	694.8087205396376	648.6741493523323	820.5402763067447	812.146334003044	733.6452479167353	630.8227283865308	834.2892898112267
K02015	612.3987186734331	675.2077562326376	692.8518474894378	757.248344211843	803.017709865044	710.359268329938	572.6528637579319	582.0939360764331	575.306951747031	657.4466194805332	531.2833495798292	497.01789264412855	2438.6291825327316	595.0065221868329	547.4116849959289	476.10281281542524	581.2468625879314	816.9476093369437	667.8461960178355	909.0603009999461	768.4308366233416	491.4198101153244	884.5540567278482	659.2096866908357	844.3841532626407	802.8652906737392	586.6096568985188
K02016	683.060109289637	779.0858725761434	692.8518474894378	1063.8415762586603	1184.0675148647647	1057.2789110027566	992.2691863392553	939.8947958665535	713.6719148254384	876.5954926407443	882.3923458238484	721.9838861567415	1697.3183180750914	865.0479437947479	682.021115732736	882.3772130845467	977.551541625253	1047.6885371648561	951.9300256672504	1043.7359011481528	1012.3040961504549	1061.4667898492528	1000.9427484025545	1065.2828536923578	1010.4925112815488	974.9078529609476	1068.9331525706343
K10548	176.65347654040957	190.44321329631063	256.355183571014	81.26567596420342	99.73786842274058	115.6398808909062	286.3264318789159	112.14653814310638	131.08259660050703	195.45710308880984	170.93464290820938	219.73422622161263	583.3265818682314	59.50065221869109	170.505278933109	171.39701261350908	88.06770645272556	124.72482585290668	179.42136609430952	190.79043354320967	73.6221160836755	98.283962023082	110.56925709090602	94.92619488348323	55.36945267296297	88.62798663281862	247.67963291270792
K10547	70.66139061617112	86.56509695291342	166.28444339740906	66.49009851616638	81.8361997314795	16.519982984418384	88.85992713486475	154.8690288643088	65.54129830029922	100.69002280330507	106.25666991590582	88.94004394685031	648.140646520235	77.80854520905748	89.73962049114965	120.61271257990639	52.84062387163536	56.1261716338359	14.951780507862892	157.12153350610797	124.23732089110673	176.9111316415088	64.01378042109778	52.73677493526846	55.36945267296297	36.49387684880769	65.17885076650539
K10546	129.545882796307	225.06925207751257	83.14222169873872	44.32673234411092	79.27881848987074	28.909970222732248	113.54324022780631	96.12560412272587	87.3883977337323	88.84413776764747	138.5956564121076	120.33064769270692	644.0897674795348	54.92367897109944	152.55735483490807	107.91663757140572	61.64739451690794	118.48858456030634	39.87141468763452	78.56076675308749	73.6221160836755	0.0	104.74982250720569	184.57871227341002	96.89654217768526	62.56093174081315	52.14308061320427
K10199	11.776898436028539	0.0	0.0	3.69389436200925	0.0	0.0	0.0	0.0	0.0	5.9229425178431585	4.6198552137378535	0.0	0.0	0.0	0.0	0.0	0.0	6.236241292648433	4.983926835954315	22.44593335802504	4.601382255229719	19.65679240461638	5.8194345837361565	26.36838746763423	0.0	0.0	0.0
